,split0_test_rmse,split1_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_reg_all
18,1.0101641841763978,1.008314982445129,1.0092395833107632,0.0009246008656343951,15,0.8173471458511029,0.8167958776766646,0.8170715117638838,0.0002756340872191454,14,32.39062011241913,0.9563242197036743,10.023452639579773,0.54999840259552,"{'n_factors': 40, 'reg_all': 0.04}",40,0.04
19,1.0080599384579674,1.0062008423115467,1.007130390384757,0.000929548073210329,5,0.8169467452035684,0.8162884788896135,0.8166176120465909,0.0003291331569774125,9,42.08450996875763,4.347181677818298,12.915289044380188,1.2129732370376587,"{'n_factors': 40, 'reg_all': 0.05}",40,0.05
20,1.05135765600628,1.0499680188092884,1.0506628374077842,0.0006948185984958499,45,0.8371202976337238,0.8369104030709706,0.8370153503523472,0.00010494728137655507,45,54.67429172992706,1.4111019372940063,14.674361109733582,0.15176117420196533,"{'n_factors': 50, 'reg_all': 0.01}",50,0.01
21,1.0278322608012789,1.0264752720320083,1.0271537664166437,0.0006784943846352975,36,0.8252921746621533,0.8241187796743318,0.8247054771682425,0.0005866974939107705,36,54.26216208934784,0.19133198261260986,14.575535297393799,0.3727710247039795,"{'n_factors': 50, 'reg_all': 0.02}",50,0.02
22,1.0159405791220062,1.014961392844252,1.015450985983129,0.0004895931388770869,26,0.8194085966407132,0.8194576999376305,0.8194331482891719,2.4551648458659425e-05,27,52.79728317260742,4.824958562850952,11.347567200660706,0.6417628526687622,"{'n_factors': 50, 'reg_all': 0.03}",50,0.03
23,1.0103892118341746,1.008968522810879,1.0096788673225268,0.0007103445116478646,16,0.8171717151947074,0.8169740183385934,0.8170728667666505,9.884842805701899e-05,15,44.734397649765015,1.3733692169189453,12.106867671012878,0.28199899196624756,"{'n_factors': 50, 'reg_all': 0.04}",50,0.04
24,1.0079706137706437,1.0065871256654952,1.0072788697180695,0.0006917440525742169,6,0.8167092268812116,0.8164500182248181,0.8165796225530149,0.00012960432819675294,7,43.05905067920685,1.3790546655654907,12.015774130821228,0.30516326427459717,"{'n_factors': 50, 'reg_all': 0.05}",50,0.05
25,1.0552472363521523,1.055429719374523,1.0553384778633377,9.124151118533597e-05,46,0.8386914930307838,0.8400373068660596,0.8393643999484217,0.0006729069176378832,46,54.50695049762726,5.33988082408905,16.367426872253418,2.795828342437744,"{'n_factors': 60, 'reg_all': 0.01}",60,0.01
26,1.03032287408786,1.0293427842608456,1.0298328291743528,0.0004900449135072371,37,0.8258575881310005,0.8263068073362695,0.826082197733635,0.0002246096026344846,37,55.64565849304199,1.1445555686950684,13.209686398506165,0.7934530973434448,"{'n_factors': 60, 'reg_all': 0.02}",60,0.02
27,1.0176849829910644,1.0159203023178338,1.016802642654449,0.0008823403366152727,28,0.8205305723691408,0.8200124807389038,0.8202715265540224,0.0002590458151185415,28,54.77130365371704,0.3380391597747803,12.085699319839478,0.15398144721984863,"{'n_factors': 60, 'reg_all': 0.03}",60,0.03
28,1.0110325136521585,1.0098270491962382,1.0104297814241985,0.0006027322279601455,18,0.8176119815900389,0.8173716938271034,0.8174918377085711,0.00012014388146774913,18,50.20340704917908,0.6632435321807861,12.117627501487732,0.2287524938583374,"{'n_factors': 60, 'reg_all': 0.04}",60,0.04
29,1.0083510895383625,1.0066989683701728,1.0075250289542677,0.0008260605840948454,7,0.8169047243440369,0.8163237668797279,0.8166142456118823,0.0002904787321545421,8,53.2062509059906,1.4663498401641846,12.483482003211975,0.5223122835159302,"{'n_factors': 60, 'reg_all': 0.05}",60,0.05
30,1.0585425493190603,1.0585755387885067,1.0585590440537835,1.649473472320473e-05,47,0.8416159644067844,0.8416259212261783,0.8416209428164814,4.9784096969318625e-06,47,61.79634511470795,2.817367672920227,13.172948837280273,0.9326972961425781,"{'n_factors': 70, 'reg_all': 0.01}",70,0.01
31,1.032312763411466,1.0311295371469826,1.0317211502792243,0.0005916131322416529,38,0.827799334836673,0.8267953218078804,0.8272973283222766,0.0005020065143963026,39,63.372801184654236,4.43071711063385,11.891975283622742,0.25497686862945557,"{'n_factors': 70, 'reg_all': 0.02}",70,0.02
32,1.018354006321166,1.016332965081783,1.0173434857014745,0.001010520619691535,29,0.8209494413279567,0.819758151142357,0.8203537962351568,0.0005956450927998569,29,59.764110922813416,1.0410910844802856,12.053500175476074,0.1399078369140625,"{'n_factors': 70, 'reg_all': 0.03}",70,0.03
33,1.01105362204412,1.010527470171877,1.0107905461079985,0.00026307593612151514,19,0.8172898660626791,0.8178616034740015,0.8175757347683403,0.0002858687056612186,20,57.41525650024414,1.1304738521575928,11.48141896724701,0.5871850252151489,"{'n_factors': 70, 'reg_all': 0.04}",70,0.04
34,1.0089533905550283,1.007138529520482,1.0080459600377552,0.0009074305172731556,9,0.8171970701976594,0.8168448592840719,0.8170209647408657,0.00017610545679375145,12,58.55002772808075,0.9940093755722046,11.808529257774353,0.26589643955230713,"{'n_factors': 70, 'reg_all': 0.05}",70,0.05
35,1.0616887291385364,1.0613592214232876,1.061523975280912,0.00016475385762437789,48,0.8433490045296129,0.843969962935981,0.843659483732797,0.0003104792031840553,48,65.56943118572235,0.6404522657394409,11.541982054710388,0.5589286088943481,"{'n_factors': 80, 'reg_all': 0.01}",80,0.01
