,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_bsl_options
13,0.9977697508231308,1.00015487972166,1.00105177389476,1.0000131526225644,0.9988668393191736,0.9995712792762579,0.001137492529208572,19,0.558282470703125,0.007419489751118057,1.7775704383850097,0.040116630452089026,"{'bsl_options': {'method': 'als', 'reg_u': 5, 'reg_i': 2, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 5, 'reg_i': 2, 'n_epochs': 10}"
14,0.9977807689389333,1.000159098316903,1.0010744526384778,1.0000376644908315,0.9988705973595546,0.9995845163489401,0.0011418040870307584,20,0.6099032878875732,0.07140438909177,1.8128230571746826,0.10972167628384605,"{'bsl_options': {'method': 'als', 'reg_u': 5, 'reg_i': 5, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 5, 'reg_i': 5, 'n_epochs': 10}"
15,0.9978203314045314,1.000188038971374,1.0011284951197499,1.0000971500497706,0.9988983191619983,0.9996264669414849,0.0011476340137952302,22,0.6070408344268798,0.08000169366964333,1.9472622871398926,0.195517597476535,"{'bsl_options': {'method': 'als', 'reg_u': 5, 'reg_i': 10, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 5, 'reg_i': 10, 'n_epochs': 10}"
16,0.9978782561397559,1.0002361671666484,1.0011980363201878,1.0001722647385491,0.9989454486832489,0.999686034609678,0.0011525402597553102,23,0.5963102340698242,0.08114170119293515,1.8562986850738525,0.08857559967529001,"{'bsl_options': {'method': 'als', 'reg_u': 5, 'reg_i': 15, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 5, 'reg_i': 15, 'n_epochs': 10}"
17,0.9979492607789421,1.0002982381411998,1.0012790201784207,1.0002585341526071,0.9990073650796933,0.9997584836661726,0.0011567958552837526,24,0.6513371944427491,0.129502775572769,1.9217941761016846,0.09967236498270796,"{'bsl_options': {'method': 'als', 'reg_u': 5, 'reg_i': 20, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 5, 'reg_i': 20, 'n_epochs': 10}"
18,0.9974923800482507,0.999886036156333,1.0008508138903929,0.9998235587928347,0.9985835654108505,0.9993272708597323,0.0011661582928795605,4,0.5722475528717041,0.019861740270309,1.8124917984008788,0.0868761183222141,"{'bsl_options': {'method': 'als', 'reg_u': 10, 'reg_i': 1, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 10, 'reg_i': 1, 'n_epochs': 10}"
19,0.9974942749560535,0.9998858179651158,1.0008577567174852,0.999830673340251,0.9985833701932274,0.9993303786344265,0.0011679888510014453,6,0.5712991714477539,0.018092013019135593,1.8622676849365234,0.10659605354435298,"{'bsl_options': {'method': 'als', 'reg_u': 10, 'reg_i': 2, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 10, 'reg_i': 2, 'n_epochs': 10}"
20,0.997508945571385,0.9998943144244345,1.0008850547567765,0.9998605471165941,0.9985921303690197,0.999348198447642,0.0011727882345882075,8,0.6075129508972168,0.08158286140643732,1.7991599082946776,0.05910417865939495,"{'bsl_options': {'method': 'als', 'reg_u': 10, 'reg_i': 5, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 10, 'reg_i': 5, 'n_epochs': 10}"
21,0.9975553332573301,0.9999310564180494,1.0009477865222352,0.9999294575329377,0.9986286224022713,0.9993984512265646,0.0011794741296902406,11,0.5587521076202393,0.012179778147226483,1.7622182369232178,0.04493244328487539,"{'bsl_options': {'method': 'als', 'reg_u': 10, 'reg_i': 10, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 10, 'reg_i': 10, 'n_epochs': 10}"
22,0.9976209243069943,0.9999878309680007,1.0010267470604226,1.000014536584614,0.9986852091339603,0.9994670496107985,0.0011851636605498483,14,0.5754258632659912,0.023120201799722108,1.7690102100372314,0.06598266797016976,"{'bsl_options': {'method': 'als', 'reg_u': 10, 'reg_i': 15, 'n_epochs': 10}}","{'method': 'als', 'reg_u': 10, 'reg_i': 15, 'n_epochs': 10}"
