,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_bu,param_reg_bi,param_reg_pu,param_reg_qi,param_n_epochs,param_biased
12,1.0361114116065813,1.0349050172095837,1.0361398675489566,1.0405963715120543,1.035765460958695,1.0367036257671742,0.001996855344094975,34,72.785080909729,4.378818533107172,4.082006025314331,0.8156798018631369,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.1, 'reg_qi': 0.01, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.1,0.01,20,True
13,0.9954152488880964,0.9935240546361427,0.9972241029390799,0.9990468634208616,0.994851767678736,0.9960124075125834,0.0019272629166919772,2,64.81429147720337,8.936941511555956,3.9343752384185793,0.733754145270578,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.1, 'reg_qi': 0.05, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.1,0.05,20,True
14,1.0037433948771315,1.002137821007859,1.0053498427582,1.0077775937768263,1.0039984608528334,1.0046014226545699,0.0018877130779998597,7,63.27317385673523,4.747334063822624,3.3174728870391847,0.9702069262297781,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.1, 'reg_qi': 0.1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.1,0.1,20,True
15,1.004849825273435,1.0036578066878283,1.0065326914952304,1.009037169589654,1.005277454983745,1.0058709896059788,0.0018306164890717917,15,62.78109450340271,4.594087937009084,4.088219928741455,0.826375525453749,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.1, 'reg_qi': 0.5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.1,0.5,20,True
16,1.0048520915268564,1.0036576581433179,1.0065316868037952,1.0090376430521077,1.0052763985648723,1.0058710956181898,0.0018305596272341492,16,56.49689693450928,8.999121080989323,4.013192224502563,0.8019717433678609,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.1, 'reg_qi': 1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.1,1.0,20,True
17,1.0048537246843676,1.0036588536880395,1.0065309548612023,1.0090371236581126,1.0052780862097148,1.0058717486202873,0.001829746636622061,21,61.71604871749878,11.222475459939284,3.605224084854126,0.9314555695565203,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.1, 'reg_qi': 5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.1,5.0,20,True
18,0.9943015523055952,0.9923815372384289,0.9951569355848064,0.9983683559355039,0.9942655767787092,0.9948947915686087,0.001959523426722356,1,67.68364653587341,3.228378717454361,3.9421043395996094,0.7209301954443976,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.5, 'reg_qi': 0.01, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.5,0.01,20,True
19,1.0047849638503688,1.0035877269742124,1.00646967861325,1.0089767154069693,1.005201902309966,1.0058041974309533,0.0018342340800616126,8,60.05787305831909,8.252306721878925,3.994602584838867,0.7950636145909806,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.5, 'reg_qi': 0.05, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.5,0.05,20,True
20,1.0048514530477874,1.003657600767225,1.006529441564483,1.00903486980253,1.0052753052264232,1.0058697340816898,0.0018295941529823101,11,73.13775377273559,6.31203372015829,3.7012534141540527,1.0303107794842934,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.5, 'reg_qi': 0.1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.5,0.1,20,True
21,1.004853370848758,1.003659308989311,1.0065310481041498,1.0090371109955625,1.005277680146449,1.005871703816846,0.001829704594958448,18,73.56199889183044,2.7905751335864704,4.4899975776672365,0.042455562033208404,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.5, 'reg_qi': 0.5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.5,0.5,20,True
22,1.0048534279463401,1.003659356433386,1.0065310021566556,1.0090372878387255,1.0052777418830057,1.0058717632516228,0.0018297406349097696,24,70.46992516517639,6.714703296450214,3.9524463176727296,0.7477719920851897,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.5, 'reg_qi': 1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.5,1.0,20,True
23,1.0048534582897855,1.003659438387739,1.006531079789953,1.0090371617229625,1.0052776918302313,1.0058717660041343,0.0018296826463850234,25,65.96196336746216,10.461419506681045,3.640393686294556,0.9612692343890524,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 0.5, 'reg_qi': 5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,0.5,5.0,20,True
24,1.0028673448765337,1.00172239595226,1.0047010219926475,1.0071090162342138,1.00396185404134,1.0040723266193992,0.0018222568984953597,6,62.72540774345398,5.8016655559506685,2.907366132736206,0.7633549985037227,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 1, 'reg_qi': 0.01, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,1.0,0.01,20,True
25,1.0048519058391145,1.0036585253939823,1.0065292295885437,1.0090356290294522,1.0052760458863872,1.005870267147496,0.0018295194772535825,13,61.5501314163208,11.00298623510324,3.952813959121704,0.7914782393768509,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 1, 'reg_qi': 0.05, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,1.0,0.05,20,True
26,1.0048531535750573,1.0036590955165348,1.0065307301058624,1.0090368330860682,1.0052773105248836,1.0058714245616813,0.0018296853293267793,17,53.958557796478274,7.9689816243478235,4.050830411911011,0.7919135795695033,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 1, 'reg_qi': 0.1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,1.0,0.1,20,True
27,1.0048534349166667,1.003659372861179,1.006531085729548,1.0090371738382902,1.005277744285576,1.0058717623262519,0.0018297023081149159,23,70.50642862319947,12.788603485181463,4.115906858444214,0.7406434720558455,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 1, 'reg_qi': 0.5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,1.0,0.5,20,True
28,1.0048534398661608,1.0036593558789415,1.0065311103774055,1.009037161319097,1.0052777043856709,1.0058717543654552,0.0018297058995227307,22,53.97323317527771,7.462201823445642,3.292697715759277,0.959165801180201,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 1, 'reg_qi': 1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,1.0,1.0,20,True
29,1.004853465073113,1.0036594004719337,1.0065311237874162,1.0090371752922744,1.0052777008032585,1.0058717730855993,0.001829698343697527,26,63.75212912559509,10.76685264983516,3.868840551376343,0.7777916108442653,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 1, 'reg_qi': 5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,1.0,5.0,20,True
30,1.004852104622158,1.003658513843643,1.006529962278794,1.0090348938407827,1.005275967151208,1.005870288347317,0.0018293036851528945,14,53.960574579238894,9.353985234053988,3.776360034942627,0.8490358063785908,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 5, 'reg_qi': 0.01, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,5.0,0.01,20,True
31,1.004853428333791,1.0036593344356748,1.006531120475273,1.0090371184865854,1.005277668070444,1.0058717339603536,0.001829700634661695,19,66.41345915794372,13.62263566633562,4.1786946773529055,0.5878260797919435,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 5, 'reg_qi': 0.05, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,5.0,0.05,20,True
32,1.0048533992731856,1.0036594071736509,1.006531069281418,1.009037161393779,1.0052776986367336,1.0058717471517535,0.001829695450777273,20,61.69980411529541,7.2101280049585545,3.976169157028198,0.8023671122990279,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 5, 'reg_qi': 0.1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,5.0,0.1,20,True
33,1.0048534543493384,1.0036594056579429,1.0065311135989483,1.0090371842812447,1.0052777163883766,1.0058717748551702,0.0018296996471079648,29,66.87092752456665,7.196617141623282,3.2372538089752196,0.9658220669848063,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 5, 'reg_qi': 0.5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,5.0,0.5,20,True
34,1.004853455656609,1.0036594079101417,1.0065311300547715,1.009037178200169,1.0052776995874535,1.005871774281829,0.0018296991298623205,28,58.09597864151001,9.442187783994951,4.013746976852417,0.7610956779570537,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 5, 'reg_qi': 1, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,5.0,1.0,20,True
35,1.004853450728313,1.0036594052333137,1.0065311206816534,1.0090371864308452,1.0052777029058975,1.0058717731960045,0.0018297022825733281,27,48.838811540603636,7.019632101552552,2.741911697387695,0.7646340473128475,"{'n_factors': 50, 'lr_all': 0.007, 'reg_bu': 0.05, 'reg_bi': 0.02, 'reg_pu': 5, 'reg_qi': 5, 'n_epochs': 20, 'biased': True}",50,0.007,0.05,0.02,5.0,5.0,20,True
